brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
Subaru,Trezia,2011,1,False,2011,1.5,бензин,109,вариатор,передний,хэтчбек,163997,3,правый,1.5 i Sports Limited
Toyota,RAV4,2016,4,True,42016,2.0,бензин,146,вариатор,4WD,джип/suv 5 дв.,164000,N/A,левый,2.0 CVT 4WD Престиж
Toyota,Mark II,2001,9,False,22001,2.0,бензин,160,АКПП,задний,седан,250000,4,правый,2.0 Grande
Kia,Rio,2018,4,False,2018,1.6,бензин,123,АКПП,передний,седан,56000,N/A,левый,1.6 AT Premium
Nissan,Qashqai,2013,1,True,2013,1.6,бензин,117,вариатор,передний,внедорожник,116000,N/A,левый,1.6 CVT LE+
Ford,Ranger,2025,4,False,2025,2.3,бензин,258,АКПП,4WD,N/A,N/A,N/A,левый,2.3 AT 4WD Wildland
Suzuki,Jimny,2015,3,True,2015,0.7,бензин,64,АКПП,4WD,джип/suv 3 дв.,98000,N/A,правый,660 XG 4WD; 4вд; автоматическая коробка передач
Mazda,Familia S Wagon,2002,9,True,2002,1.5,бензин,110,АКПП,передний,универсал,177000,4,правый,N/A
Toyota,RAV4,2024,5,False,42024,2.0,бензин,171,вариатор,4WD,джип/suv 5 дв.,35,N/A,левый,2.0 CVT Adventure Plus
Honda,CR V,2004,2,True,2004,2.4,бензин,158,АКПП,4WD,внедорожник,199000,N/A,левый,2.4 AT 4WD LX
Opel,Antara,2012,1,True,2012,2.4,бензин,167,АКПП,4WD,внедорожник,136000,N/A,левый,2.4 AT Cosmo
Toyota,Estima,2009,3,True,2009,2.4,бензин,150,вариатор,4WD,минивэн,180000,1,правый,2.4 G 4WD (7 Seater)
Renault,Kaptur,2021,1,True,2021,1.3,бензин,149,вариатор,4WD,внедорожник,90000,N/A,левый,1.3 TCe 150 CVT 4х4 Style
Toyota,Sprinter,1993,7,False,1993,1.5,бензин,105,АКПП,передний,седан,374000,4,правый,1.5 SE limited; АКПП; серый
Hyundai,Creta,2017,1,False,2017,2.0,бензин,149,АКПП,передний,внедорожник,121000,N/A,левый,2.0 AT 2WD Travel
Chevrolet,Niva,2008,1,False,2008,1.7,бензин,80,механика,4WD,внедорожник,160000,1,левый,1.7 MT L
Geely,Monjaro,2025,1,True,2025,2.0,бензин,238,автомат,4WD,внедорожник,N/A,N/A,левый,Xingyue L 2.0 AT Sun Moon
Toyota,RAV4,2007,3,False,42007,2.0,бензин,152,АКПП,4WD,джип/suv 5 дв.,244000,N/A,левый,N/A
Peugeot,308,2012,1,True,3082012,1.6,бензин,120,АКПП,передний,хэтчбек 5 дв.,150000,2,левый,1.6 AT Active
Honda,Vezel,2018,1,False,2018,1.5,бензин,131,вариатор,передний,внедорожник,116000,N/A,правый,1.5 X Honda Sensing
Volkswagen,Touareg,2011,2,False,2011,3.6,бензин,249,АКПП,4WD,внедорожник,217536,N/A,левый,3.6 FSI Tiptronic Exclusive
Toyota,RAV4,2024,5,False,42024,2.0,бензин,171,вариатор,4WD,джип/suv 5 дв.,30,N/A,левый,2.0 CVT Adventure Plus
УАЗ,Патриот,2019,1,True,2019,2.7,бензин,150,АКПП,4WD,внедорожник,137000,2,левый,2.7 AT Премиум
Лада,4x4 2121 Нива,2012,1,False,21212012,1.7,бензин,83,механика,4WD,внедорожник,117000,2,левый,1.7 MT; 1.7 литра; бензин; 4 вд
Chevrolet,Epica,2008,2,False,2008,2.0,бензин,144,механика,передний,"- ✔️ 8 подушек безопасности для полной защиты - ✔️ Отличная заводская шумоизоляция обеспечивает тишину и спокойствие в поездках - ✔️ Эффективный климат-контроль обеспечит прохладу летом и тепло зимой ❄️ - ✔️ Задние парктроники и камера заднего вида облегчают парковку 📷 - ✔️ Удобный кожаный салон премиум-класса, безупречное состояние 👌 - ✔️ Система мультимедиа с поддержкой CarPlay и Android Auto - ✔️ Функциональный круиз-контроль и мультируль для комфортного вождения - ✔️ Подогрев сидений, зеркал и руля повышает уровень комфорта - ✔️ Автоматическое затемнение зеркала заднего вида улучшает видимость ночью - ✔️ Датчики света и дождя обеспечивают дополнительную безопасность в плохих погодных условиях Техобслуживание и обслуживание: - Полностью обслуженная тормозная система с новыми деталями и комплектующими - Регулярное ТО с заменой масла и фильтров (масло Mobil) - Новые оригинальные диски на 17 дюймов с качественной резиной Dunlop - По подвеске и двигателю никаких проблем. Дополнительные плюсы: - Оригинальный паспорт транспортного средства (ПТС) - Чистая сервисная история - История авто зелёная 🍀 - Стаканы и пороги целые, лобовое стекло без повреждений - Всё оборудование функционирует исправно Осмотр: Проводится по предварительной договорённости в районах севера СПб (Приозёрское ш., Лупполово, Юкки, Парголово) и Красногвардейского района (ул. Энергетиков). 🚘 Автомобиль ежедневно используется мной лично, проверяйте сами качество езды и техническое состояние! Не упустите шанс приобрести отличный вариант семейного автомобиля по привлекательной цене! Звоните прямо сейчас!",198053,3,левый,2.0 MT LS; б/у; коробка механическая MT
Ford,Mondeo,2016,5,False,2016,2.5,бензин,149,АКПП,передний,седан,55000,N/A,левый,2.5 AT Titanium
Mercedes,Benz C Class,2016,4,False,2016,1.6,бензин,156,АКПП,задний,универсал,84100,N/A,правый,C 180
Infiniti,Q50,2015,4,False,502015,2.0,бензин,211,АКПП,задний,седан,158000,3,левый,N/A
Mitsubishi,Lancer,2003,9,True,2003,1.5,бензин,90,вариатор,передний,седан,285100,3,правый,N/A
BMW,X1,2012,1,True,12012,2.0,дизель,184,АКПП,4WD,внедорожник,245000,3,левый,xDrive20d AT
Mitsubishi,Pajero iO,1999,1,False,1999,1.8,бензин,130,АКПП,4WD,джип/suv 5 дв.,95000,1,правый,N/A
Honda,Stream,2002,1,False,2002,1.7,бензин,130,АКПП,передний,минивэн,200000,2,правый,1.7 L style S; 1.7 литра; АКПП; с пробегом 200000 км; бензин
Audi,A6,2002,2,True,62002,2.7,бензин,250,АКПП,4WD,седан,239000,4,левый,2.7T quattro AT
Лада,2107,2003,1,False,21072003,1.6,бензин,74,механика,задний,седан,67000,4,N/A,N/A
Lifan,Breez,2008,1,False,2008,1.6,бензин,106,механика,передний,седан,114000,4,правый,N/A
Лада,4x4 2121 Нива,1996,1,False,21211996,1.7,бензин,79,механика,4WD,внедорожник,95000,3,левый,1.7 MT
Soueast,S09,2024,1,False,92024,2.0,бензин,197,АКПП,4WD,внедорожник,5,1,левый,2.0 AT Premium
Лада,2107,2010,1,False,21072010,1.6,бензин,74,механика,задний,седан,120000,2,N/A,1.6 MT 21074-40-015; бу; 1600 куб.см; пробег 120000 км
Toyota,Land Cruiser,2016,11,True,2016,4.5,дизель,249,АКПП,4WD,джип/suv 5 дв.,90000,3,левый,4.5 TD AT Executive Black and White
Nissan,Bluebird,2000,10,True,2000,1.8,бензин,125,АКПП,передний,седан,100000,4,правый,1.8 Eprise
Toyota,Land Cruiser,2010,11,False,2010,4.7,бензин,288,АКПП,4WD,джип/suv 5 дв.,165649,2,левый,4.7 AT Люкс
Infiniti,FX35,2005,1,False,352005,3.5,бензин,280,АКПП,4WD,внедорожник,149000,2,левый,3.5 AT AWD
Lexus,RX400h,2006,2,True,400,3.3,бензин,211,вариатор,4WD,внедорожник,200000,4,левый,3.3h CVT
Hyundai,Accent,2007,2,False,2007,1.5,бензин,102,механика,передний,седан,207500,4,левый,1.5 MT MT2
Chery,Arrizo 8,2025,1,False,82025,1.6,бензин,150,робот,передний,седан,150000,N/A,левый,1.6 DCT Ultra Black
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,150000,N/A,левый,1.6 TGDI DCT AWD Active; бензиновый двигатель; 4wd; автомат; 1.6 литра
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,150000,N/A,левый,1.6 TGDI DCT AWD Active
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 TGDI DCT AWD Prime
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,150000,N/A,левый,1.6 TGDI DCT AWD Active
Chery,Arrizo 8,2025,1,False,82025,1.6,бензин,150,робот,передний,седан,150000,N/A,левый,1.6 DCT Active
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 TGDI DCT AWD Active
Лада,Калина,2013,2,False,2013,1.6,бензин,98,АКПП,передний,хэтчбек 5 дв.,90000,4,N/A,Comfort 21922-51-21X
BMW,X7,2025,1,True,72025,3.0,дизель,352,АКПП,4WD,внедорожник,N/A,N/A,левый,xDrive40d AT
Honda,Fit,2002,1,False,2002,1.3,бензин,86,вариатор,передний,хэтчбек,287000,4,правый,N/A
Kia,Ceed,2009,1,False,2009,1.6,бензин,122,АКПП,передний,универсал,277967,3,левый,1.6 AT Luxe
BMW,5 Series,2020,7,True,5,3.0,дизель,249,АКПП,4WD,седан,56650,2,левый,530d AT xDrive M Sport Pro
Honda,Civic,2007,8,False,2007,1.8,бензин,140,АКПП,передний,седан,220250,4,левый,1.8 AT Elegance; 1.8 литра; черный; седан
Opel,Omega,1990,1,False,1990,2.0,бензин,115,механика,задний,седан,239855,2,левый,2.0i MT CD Diamant; седан; цена 65000 руб.; мкпп
Honda,Civic Ferio,2004,3,True,2004,1.7,бензин,130,вариатор,передний,седан,280000,3,правый,1.7 XL
Honda,Odyssey,2002,2,True,2002,2.3,бензин,150,АКПП,4WD,минивэн,427000,1,правый,2.3 Absolute
Subaru,Levorg,2021,2,False,2021,1.8,бензин,177,вариатор,4WD,универсал,28000,N/A,правый,1.8 STI Sport EX 4WD; 4вд; в пути; Япония; 1.8л.
Toyota,Corolla Fielder,2000,1,False,2000,1.5,бензин,110,АКПП,передний,универсал,340080,2,правый,1.5 X G edition; бензин; руль правый
BMW,3 Series,2020,7,False,3,2.0,бензин,184,АКПП,задний,седан,65666,1,левый,полная; есть все: проекция на лобовое стекло; память сидений; 2 литра; задний привод; 320i AT Luxury; бензин; седан
Chevrolet,Niva,2006,1,False,2006,1.7,бензин,80,механика,4WD,внедорожник,300000,2,левый,N/A
Skoda,Rapid,2017,1,True,2017,1.6,бензин,110,механика,передний,лифтбек,64000,2,левый,1.6 MPI MT Style; с пробегом 64000 км; бензин; бу
Лада,2112,2007,1,False,21122007,1.6,бензин,89,механика,передний,хэтчбек 5 дв.,158000,2,левый,1.6 MT Базовая 5-дв. 21124; хэтчбек 5 дв.; бензин; бу; 1.6 литра; механика; привод передний
Fiat,Bravo,2008,2,False,2008,1.4,бензин,120,робот,передний,хэтчбек 5 дв.,155400,3,левый,1.4 AMT Dynamic
Toyota,Corolla,2000,9,False,2000,1.5,бензин,110,АКПП,передний,седан,431000,4,правый,1.5 X assista package; седан
Toyota,Ipsum,1998,1,False,1998,2.0,бензин,135,АКПП,передний,"ПТС, СОР, ДКП от предыдущего собственника. Обмен возможен только на авто более дешевое.",258000,4,правый,N/A
Mercedes,Benz G Class,1995,2,True,1995,3.2,бензин,210,АКПП,4WD,джип/suv 5 дв.,328616,4,левый,G 320; 3.2л.
Toyota,Probox,2021,1,True,2021,1.3,бензин,95,вариатор,передний,универсал,31000,1,правый,1.3 DX Comfort; руль правый
Toyota,Land Cruiser Prado,2006,3,True,2006,4.0,бензин,249,АКПП,4WD,джип/suv 5 дв.,245000,2,левый,4.0 AT R2 New
Chevrolet,Niva,2009,1,True,2009,1.7,бензин,80,механика,4WD,внедорожник,112000,1,левый,1.7 MT GLC
Lexus,RX300,2022,4,True,3002022,2.0,бензин,238,АКПП,4WD,внедорожник,8000,N/A,правый,RX300 F Sport 4WD
Chevrolet,Spark,2007,2,False,2007,0.8,бензин,52,АКПП,передний,N/A,180000,4,левый,N/A
Chery,Tiggo T11,2014,1,True,112014,2.0,бензин,136,механика,4WD,внедорожник,221642,N/A,левый,2.0 MT Comfort 4WD; 4wd; механическая коробка передач
Infiniti,FX37,2010,2,False,372010,3.7,бензин,333,АКПП,4WD,внедорожник,180000,4,левый,3.7 AT AWD Hi-Tech + Black Quartz
Kia,Rio,2012,3,False,2012,1.6,бензин,123,АКПП,передний,седан,217587,N/A,левый,электрические зеркала; мультируль; подогрев сидений; бензин; седан; АКПП
Mazda,Bongo,2009,4,False,2009,1.8,бензин,95,АКПП,4WD,минивэн,250000,2,правый,N/A
Fiat,Albea,2008,1,True,2008,1.4,бензин,77,механика,передний,седан,134759,N/A,левый,1.4 MT (77 л.с.) Comfort
Mazda,MPV,2003,2,False,2003,2.3,бензин,163,АКПП,передний,минивэн,225919,N/A,правый,2.3 AT (163 л.с.) Базовая
Chevrolet,Lacetti,2008,1,False,2008,1.6,бензин,109,АКПП,передний,хэтчбек 5 дв.,142000,4,левый,N/A
Hyundai,Solaris,2011,1,False,2011,1.6,бензин,123,механика,передний,седан,95378,N/A,левый,1.6 MT (123 л.с.) Elegance
Kia,Cerato,2011,2,False,2011,2.0,бензин,150,АКПП,передний,седан,257324,N/A,левый,электрические зеркала с функцией складывания; мультируль; 2 литра; бензин; 2.0 AT Prestige; автомат
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,245,автомат,4WD,внедорожник,N/A,N/A,левый,Ultra полный 245
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Geely,Tugella,2024,1,True,2024,2.0,бензин,238,АКПП,4WD,внедорожник,32000,1,левый,2.0 AT 4WD Flagship
Subaru,Forester,2006,2,True,2006,2.5,бензин,230,механика,4WD,внедорожник,126000,2,левый,2.5X MT UL
Лада,Приора,2011,1,False,2011,1.6,бензин,98,механика,передний,универсал,133997,N/A,левый,1.6 MT (98 л.с.) Норма 21723-21-045
Toyota,Prius,2011,3,False,2011,1.8,бензин,99,вариатор,передний,лифтбек,200,3,правый,N/A
Livan,X6 Pro,2023,1,False,6,1.5,бензин,147,робот,передний,внедорожник,7800,1,левый,1.5 T DCT Luxury; б/у
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,245,автомат,4WD,внедорожник,N/A,N/A,левый,Ultra полный 245
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR; джип/suv 5 дв.
Datsun,on DO,2019,1,False,2019,1.6,бензин,87,механика,передний,седан,96342,N/A,левый,1.6 MT (87 л.с.) Dream III
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Nissan,Teana,2012,2,True,2012,2.5,бензин,182,вариатор,передний,седан,216794,4,левый,климат-контроль; мульти руль; 4 эсп; черный; 2.5 литра; стоимость 968 тысяч р.; автоматическая коробка передач
Hyundai,Creta,2019,1,False,2019,1.6,бензин,123,АКПП,передний,внедорожник,142204,1,левый,Active + Winter + Light 2019
Лада,Х рей,2020,1,False,2020,1.6,бензин,106,механика,передний,"♻️ ОБМЕН – Принимаем любые (в т.ч. кредитные, легкие коммерческие, с нашей или Вашей доплатой) юридически чистые автомобили. 🏦 АВТОКРЕДИТОВАНИЕ / АВТОСТРАХОВАНИЕ – Более 20 партнеров; У нас можно купить автомобиль без первоначального взноса; ️ Мы работаем ежедневно с 8:00 до 20:00 (без выходных). https://rutube.ru/video/cd3d4aec3e15c8dc7daf871202880dc7 /",187702,2,левый,1.6 МТ Classic + пакет Air Conditioner
Volkswagen,Passat CC,2011,1,False,2011,1.8,бензин,152,робот,передний,седан,123252,N/A,левый,1.8 TSI DSG
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Kia,Sportage,2017,4,False,2017,2.0,бензин,150,АКПП,передний,джип/suv 5 дв.,248892,2,левый,2.0 AT 2WD Comfort FCC 2017
Hyundai,Creta,2019,N/A,False,2019,2.0,бензин,150,автомат,передний,внедорожник,96059,1,левый,Обзор: Противотуманные фары; Ксеноновые/Биксеноновые фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Электрообогрев лобового стекла
Kia,Ceed,2017,2,True,2017,1.6,бензин,130,АКПП,передний,универсал,114649,2,левый,Обзор: Противотуманные фары; Ксеноновые/Биксеноновые фары; Датчик света; Электрообогрев боковых зеркал; Электрообогрев зоны стеклоочистителей; Электрообогрев форсунок стеклоомывателей
Kaiyi,X7 Kunlun,2024,1,False,7,2.0,бензин,238,робот,передний,внедорожник,30,N/A,левый,2.0T DCT 2WD Luxury
BAIC,U5 Plus,2024,1,False,5,1.5,бензин,105,автомат,передний,седан,20,N/A,левый,Обзор: Светодиодные фары; Электрообогрев боковых зеркал; Электрообогрев форсунок стеклоомывателей
Kia,Rio X (X Line),2020,1,True,2020,1.6,бензин,123,АКПП,передний,хэтчбек,91000,2,левый,N/A
Лада,Веста Кросс,2018,1,False,2018,1.8,бензин,122,механика,передний,универсал,83026,3,левый,Обзор: Противотуманные фары; Светодиодные фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Электрообогрев лобового стекла
Hyundai,Tucson,2013,N/A,False,2013,2.0,дизель,150,автомат,4WD,внедорожник,135000,2,левый,Обзор: Противотуманные фары; Ксеноновые/Биксеноновые фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Система адаптивного освещения; Электрообогрев лобового стекла; Электрообогрев зоны стеклоочистителей
Renault,Duster,2022,2,False,2022,1.6,бензин,117,механика,4WD,внедорожник,96000,1,левый,Обзор: Электрообогрев боковых зеркал
Hyundai,ix35,2014,1,True,352014,2.0,бензин,150,АКПП,4WD,внедорожник,132000,1,левый,Обзор: Противотуманные фары; Ксеноновые/Биксеноновые фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Омыватель фар; Электрообогрев лобового стекла; Электрообогрев зоны стеклоочистителей; Автоматический корректор фар
Land,Rover Range Rover Sport,2015,2,False,2015,3.0,дизель,249,АКПП,4WD,внедорожник,179000,4,левый,3.0 TD AT HSE
Kaiyi,X3,2024,2,False,32024,1.5,бензин,113,вариатор,передний,внедорожник,25,N/A,левый,Обзор: Противотуманные фары; Светодиодные фары; Датчик света; Электрообогрев лобового стекла
BAIC,U5 Plus,2024,1,False,5,1.5,бензин,105,механика,передний,седан,14,N/A,левый,Обзор: Светодиодные фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Электрообогрев форсунок стеклоомывателей
GAC,GS5,2023,1,False,52023,1.5,бензин,137,АКПП,передний,внедорожник,63,N/A,левый,Обзор: Противотуманные фары; Светодиодные фары; Датчик дождя; Датчик света; Электрообогрев боковых зеркал; Электрообогрев лобового стекла
Changan,UNI S,2025,1,False,2025,1.5,бензин,181,робот,передний,внедорожник,N/A,151812807225191228757920415676946920940900190027072006152,левый,1.5 AMT Tech Plus
Subaru,XV,2012,1,False,2012,2.0,бензин,150,вариатор,4WD,внедорожник,156378,1,левый,✅ Гарантия
Nissan,Expert,2000,1,False,2000,1.8,бензин,125,АКПП,передний,универсал,329000,3,правый,1.8 L-G
Toyota,Corolla,1996,8,False,1996,1.3,бензин,88,АКПП,передний,седан,334,3,правый,N/A
Volkswagen,Touareg,2012,2,False,2012,3.6,бензин,249,АКПП,4WD,внедорожник,222000,2,левый,3.6 FSI Tiptronic Exclusive
Mercedes,Benz C Class,2013,3,True,2013,1.8,бензин,184,АКПП,задний,седан,88000,1,левый,C 200 AT Avantgarde
Land,Rover Freelander,2005,1,True,2005,2.5,бензин,177,АКПП,4WD,джип/suv 5 дв.,289000,4,левый,2.5 AT 4WD SE
Li,L9,2024,1,False,92024,1.5,бензин,154,АКПП,4WD,внедорожник,30300,1,левый,1.5 SSR Ultra
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Toyota,Ipsum,2001,2,False,2001,2.4,бензин,160,АКПП,4WD,минивэн,318000,4,правый,2.4 240s 4WD (7 seater)
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Лада,Приора,2012,1,False,2012,1.6,бензин,98,механика,передний,хэтчбек 5 дв.,114000,3,левый,N/A
Volkswagen,Tiguan,2014,1,True,2014,2.0,бензин,170,АКПП,4WD,внедорожник,243650,3,левый,N/A
Lexus,IS250,2014,3,False,2502014,2.5,бензин,208,АКПП,задний,седан,270000,2,левый,N/A
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Honda,Airwave,2007,1,False,2007,1.5,бензин,110,вариатор,передний,универсал,150000,N/A,правый,1.5 L sky roof HDD NAVI  style edition
Volkswagen,Passat,2013,7,False,2013,1.4,бензин,160,робот,передний,седан,N/A,N/A,левый,N/A
Audi,A4,2005,3,False,42005,1.8,бензин,163,вариатор,передний,седан,280000,2,левый,1.8T Multitronic
Toyota,Corolla,2019,12,False,2019,1.8,бензин,140,вариатор,передний,универсал,70000,N/A,правый,Touring 1.8 WxB
Лада,Гранта,2022,N/A,False,2022,1.6,бензин,90,механика,передний,седан,28500,2,левый,1.6 MT Classic'23 ('24) Кондиционер; мкпп; 1.6 литра
Chery,Very A13,2013,1,False,132013,1.5,бензин,109,механика,передний,хэтчбек,110000,3,N/A,N/A
Nissan,Largo,1999,3,True,1999,2.4,бензин,145,АКПП,задний,минивэн,399000,4,правый,2.4 Grand star
Лада,Гранта,2013,1,False,2013,1.6,бензин,87,механика,передний,седан,250000,1,левый,1.6 MT Норма 010
Honda,Freed,2011,1,False,2011,1.5,бензин,118,вариатор,передний,минивэн,361000,2,правый,1.5 G
Volvo,V60,2011,1,False,602011,1.6,бензин,180,робот,передний,универсал,156155,4,левый,N/A
Toyota,Wish,2009,2,False,2009,1.8,бензин,144,вариатор,передний,минивэн,60000,1,правый,N/A
Лада,Гранта,2023,1,True,2023,1.6,бензин,90,механика,передний,седан,19000,1,левый,1.6 MT #CLUB
УАЗ,Патриот,2016,1,True,2016,2.7,бензин,135,механика,4WD,внедорожник,60500,2,левый,2.7 MT Анлимитед
Land,Rover Discovery,2006,3,False,2006,2.7,дизель,190,АКПП,4WD,джип/suv 5 дв.,291116,4,левый,2.7 TD AT HSE
Mazda,Demio,2001,1,True,2001,1.5,бензин,100,АКПП,передний,хэтчбек,150000,2,правый,N/A
Toyota,Corolla Spacio,2002,2,False,2002,1.5,бензин,110,АКПП,передний,минивэн,275000,1,правый,1.5 V limited
Voyah,Dream,2025,N/A,False,2025,1.5,гибрид,394,автомат,4WD,минивэн,N/A,N/A,левый,Voyah Dream I 1.5hyb AT (394 л.с.) 4WD Base
Subaru,Impreza,2000,1,True,2000,1.5,бензин,95,АКПП,4WD,универсал,364000,4,правый,1.5 sports wagon C'z
Voyah,Dream,2025,N/A,False,2025,1.5,гибрид,394,автомат,4WD,минивэн,N/A,N/A,левый,Voyah Dream I 1.5hyb AT (394 л.с.) 4WD Base
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury
Ford,Mondeo,2006,3,True,2006,2.0,дизель,130,механика,передний,седан,219300,4,левый,N/A
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Kia,Spectra,2007,1,True,2007,1.6,бензин,101,механика,передний,седан,284000,4,левый,1.6 MT Комфорт
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury
Opel,Vectra,2005,3,False,2005,2.2,бензин,155,АКПП,передний,седан,241598,4,левый,N/A
Лада,Веста,2019,1,False,2019,1.6,бензин,106,механика,передний,универсал,160500,1,левый,1.6 MT Comfort
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury; акпп; бензин
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,2.0 380 TSI DSG Respect Luxury; бензин
Mazda,CX 4,2023,1,True,42023,2.0,бензин,158,АКПП,передний,"00 до 20:00 по адресу г. Нижний Новгород, ул. Бринского, 12а (Верхние Печеры) Один владелец. ПТС оригинал. Отличное состояние автомобиля. Комплектация «Core»: • Бензиновый двигатель, 2 л., 158 л.с.",18400,1,левый,2.0 AT Core
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,N/A,150000,N/A,левый,1.6 TGDI DCT AWD Active; полный привод; новый авто
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,4WD,N/A,150000,N/A,левый,1.6 TGDI DCT AWD Active
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,249,АКПП,4WD,N/A,150000,N/A,левый,2.0 TGDI AT AWD Ultra
Chery,Tiggo 9,2024,2,False,92024,2.0,бензин,249,АКПП,4WD,N/A,150000,N/A,левый,2.0 TGDI AT AWD Prime
Subaru,Outback,2006,3,False,2006,2.5,бензин,165,АКПП,4WD,универсал,360000,3,правый,N/A
Mazda,Demio,2001,1,True,2001,1.3,бензин,83,АКПП,передний,//t.me/AvtoPotok_NSK,190000,3,правый,N/A
Лада,Веста,2019,1,False,2019,1.6,бензин,106,механика,передний,универсал,223000,1,левый,Comfort Winter
Лада,Веста Кросс,2018,1,False,2018,1.8,бензин,122,механика,передний,универсал,79763,1,левый,1.8 MT Luxe; бензин; серый; механическая коробка передач; универсал
Volkswagen,Touareg,2012,2,False,2012,3.6,бензин,249,АКПП,4WD,внедорожник,209000,3,левый,N/A
Toyota,Corolla Axio,2018,N/A,False,2018,1.5,бензин,109,механика,передний,седан,49000,1,левый,N/A
Hyundai,ix35,2014,1,True,352014,2.0,бензин,150,АКПП,передний,внедорожник,204410,1,левый,средняя. Сидения центр из ткани; боковины кожа. Полный привод...
Nissan,Serena,2009,3,True,2009,2.0,бензин,137,вариатор,передний,минивэн,235996,2,правый,2.0 Highway Star
Chery,Tiggo 8 Pro Max,2023,1,True,8,2.0,бензин,197,робот,4WD,внедорожник,42000,1,левый,2.0T DCT AWD Ultimate
Ford,Focus,2007,2,False,2007,1.8,дизель,115,механика,передний,универсал,165009,4,левый,1.8 TDCi MT Comfort
Subaru,Outback,2005,3,False,2005,2.5,бензин,165,АКПП,4WD,универсал,270000,2,левый,2.5 AWD AT
Mercedes,Benz CLA Class,2016,1,True,2016,1.6,бензин,150,робот,передний,седан,151232,3,левый,N/A
Лада,Гранта,2012,1,False,2012,1.6,бензин,98,механика,передний,седан,N/A,N/A,левый,1.6 MT Норма 011
Kia,Rio,2013,3,False,2013,1.6,бензин,123,механика,передний,седан,154000,3,левый,N/A
ГАЗ,2217,2007,N/A,False,22172007,2.4,бензин,140,механика,задний,минивэн,110000,1,N/A,N/A
Chevrolet,Lanos,2008,1,False,2008,1.5,бензин,86,механика,передний,седан,220000,N/A,N/A,1.5 MT SX
Chery,Tiggo 4 Pro,2022,1,False,4,1.5,бензин,113,механика,передний,внедорожник,40000,1,левый,1.5 MT Action; 1.5л.; коробка механическая MT; бензин
Suzuki,Liana,2007,1,True,2007,1.6,бензин,106,механика,передний,хэтчбек 5 дв.,220000,2,левый,1.6 MT GLX
