brand,model,year,generation,price,price_num,engine,power_l_s,transmission,drive,body_type,mileage,owners_count,steering,equipment
Renault,Symbol,2006,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.4 л",75,механика,передний,N/A,200 000 км,N/A,левый,люкс (или что-то около того)...
Mitsubishi,Lancer,1999,"8 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",110,АКПП,передний,седан,200 000 км,4,правый,1.5 MX saloon
Toyota,ist,2004,1 поколение,N/A,N/A,"бензин, 1.3 л",87,АКПП,передний,N/A,162 000 км,1,правый,N/A
УАЗ,3151,2010,1 поколение,N/A,N/A,"бензин, 2.7 л",128,механика,4WD,N/A,70 000 км,1,левый,N/A
Toyota,Funcargo,2000,1 поколение,N/A,N/A,"бензин, 1.5 л",105,АКПП,4WD,N/A,140 000 км,3,правый,1.5 G
Honda,Fit,2016,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.3 л",100,вариатор,передний,N/A,132 000 км,1,правый,N/A
Nissan,X Trail,2004,"1 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",150,АКПП,4WD,N/A,340 000 км,4,правый,N/A
Toyota,Corolla Fielder,2003,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",109,АКПП,передний,N/A,200 000 км,N/A,правый,1.5 X G edition
Toyota,RAV4,2013,4 поколение,N/A,N/A,"бензин, 2.0 л",146,вариатор,передний,джип/suv 5 дв.,242 851 км,4,левый,2.0 CVT 2WD Стандарт Плюс
Nissan,Qashqai,2017,2 поколение,N/A,N/A,"бензин, 2.0 л",144,вариатор,передний,N/A,115 700 км,2,левый,2.0 CVT XE
Honda,Fit,2010,2 поколение,N/A,N/A,"бензин, 1.3 л",100,вариатор,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",245 756 км,2,правый,1.3 L
Лада,2105,2004,1 поколение,N/A,N/A,"бензин, 1.5 л",71,механика,задний,N/A,150 000 км,3,N/A,N/A
Chery,Arrizo 8,2023,1 поколение,N/A,N/A,"бензин, 1.6 л",186,робот,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",28 608 км,2,левый,1.6 DCT Prestige
Lexus,RX300,2004,2 поколение,N/A,N/A,"бензин, 3.0 л",204,АКПП,4WD,"//t.me/autoobzornsk ) ✅ Двигатель родной, масло не ест, грм поменян! ✅ Подвеска идёт сбито, пневма убрана стоят обычные амортизаторы! ✅ АКПП работает хорошо! ✅ Все стекла родные включая лобовое, без сколов и трещин! ✅ Сигнализация с автозапуском! ✅ Зимняя шипованная резина! Вся подробная информация по автомобилю в телеграме , видео с толщиномером, дром отчёт, осмотр дна и подкапотного пространства. https://t.me/autoobzornsk Рассмотрю варианты обмена с доплатой в обе стороны. Обмен по средним ценам дрома!",230 000 км,4,левый,N/A
Volkswagen,Transporter,2002,4 поколение,N/A,N/A,"дизель, 2.5 л",88,механика,передний,N/A,N/A,4,левый,N/A
Renault,Kaptur,2017,1 поколение,N/A,N/A,"бензин, 2.0 л",143,механика,4WD,N/A,164 494 км,2,левый,2.0 MT 4WD Drive; 2 литра
Toyota,Carina,1990,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",94,АКПП,передний,седан,540 000 км,4,правый,N/A
Лада,Калина,2012,1 поколение,N/A,N/A,"бензин, 1.6 л",82,механика,передний,хэтчбек 5 дв.,N/A,N/A,N/A,N/A
Лада,Приора,2008,1 поколение,N/A,N/A,"бензин, 1.6 л",98,механика,передний,седан,317 000 км,3,левый,N/A
Nissan,Cube,2001,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.3 л",85,АКПП,передний,N/A,210 324 км,3,правый,1.3 X
Lifan,Myway,2018,1 поколение,N/A,N/A,"бензин, 1.8 л",125,механика,задний,"- Отличное состояние автомобиля! - Целый кузов, в заводском окрасе! - Всего 2 владелец! - 3 ряда сидений! Преимущества комплектации: - Кожаный салон - Мультируль - Полный электро-пакет - Кондиционер - Климат-контроль - Подогревы передних сидений - Парктроники - Усилитель руля - Регулировка руля - Люк 🔹Компания “АвтоЛиния”. Мы работаем более 10 лет. Находимся по адресу г. Красноярск ул. Мичурина здание 28. Работаем без выходных. ____________________________________ 🔹 Обмен вашего авто на любой из наличия («ключ в ключ» или с доплатой в любую сторону). Если ваш в кредите – погасим остаток ____________________________________ 🔹Наличный и безналичный расчет ____________________________________ 🔹АКЦИЯ! Рассрочка под 0, 01% и программа с остаточным платежом! Подробности у специалистов кредитного отдела. ____________________________________ 🔹ЭТОТ АВТОМОБИЛЬ МОЖНО ПРИОБРЕСТИ В КРЕДИТ АВТОМОБИЛИ не старше 5 лет МОЖНО ПРИОБРЕСТИ В ЛИЗИНГ . Нужны только паспорт и водительское удостоверение Первоначальный взнос от 0 руб. 15 БАНКОВ ПАРТНЕРОВ: ВТБ, Росбанк, Сетелем Банк (СБЕРБАНК), Тинькофф и др. 🔹 ВЫБРАЛИ АВТО НЕ У НАС? ОДОБРИМ КРЕДИТ И ПОМОЖЕМ СО СДЕЛКОЙ _____________________________________ 🔹 Онлайн показ и доставка по России _____________________________________ 🔹ПОКУПАЕМ АВТОМОБИЛИ. Вы можете продать нам автомобиль, сразу, за деньги . Расчёт наличный либо перечисление. Можем купить кредитный автомобиль (сами закроем долг в банке) ____________________________________ 🔹ПРИНИМАЕМ АВТОМОБИЛИ НА РЕАЛИЗАЦИЮ на нашу площадку ( Хранение и реклама БЕСПЛАТНО), наше вознаграждение прибавим к вашей цене ____________________________________ 🔹Что бы узнать дополнительную информацию о нашей компании и весь список автомобилей. перейдите ниже ” ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА”. #cmecNDczLXQwdHVrYnU=",125 000 км,2,левый,N/A
Opel,Astra,2011,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",115,механика,передний,седан,412 000 км,4,левый,N/A
Toyota,Carina ED,1990,2 поколение,N/A,N/A,"бензин, 2.0 л",125,АКПП,передний,N/A,120 000 км,3,правый,N/A
Toyota,Corolla,2012,"10 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",124,АКПП,передний,седан,N/A,4,левый,N/A
Ford,Focus,2008,2 поколение,N/A,N/A,"бензин, 1.8 л",125,механика,передний,седан,N/A,3,левый,Chia; хэтч 5 дверей; пробег 90 тыс км на момент...
Toyota,Alphard,2003,1 поколение,N/A,N/A,"бензин, 2.4 л, гибрид",131,вариатор,4WD,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",178 230 км,3,правый,AS MS
BMW,X5,2020,4 поколение,N/A,N/A,"дизель, 2.0 л",231,АКПП,4WD,N/A,102 000 км,2,левый,xDrive 25d AT Business
Honda,Stepwgn,2018,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,вариатор,передний,N/A,68 900 км,2,правый,1.5 Spada Honda Sensing 8 seater
Mitsubishi,Outlander,2008,2 поколение,N/A,N/A,"бензин, 3.0 л",220,АКПП,4WD,N/A,240 557 км,4,левый,3.0 AT Inspire
Ford,Fusion,2006,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.4 л",80,механика,передний,хэтчбек 5 дв.,140 828 км,N/A,левый,N/A
Nissan,Note,2013,2 поколение,N/A,N/A,"бензин, 1.2 л",98,вариатор,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",138 560 км,1,правый,1.2 X DIG-S Rider
Лада,2107,2004,1 поколение,N/A,N/A,"бензин, 1.6 л",74,механика,задний,N/A,150 000 км,3,N/A,N/A
Chevrolet,Cruze,2013,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",109,механика,передний,хэтчбек 5 дв.,150 147 км,2,левый,не плохая кондиционер подогрев сидушек подогрев заднего стекла зеркал заднего вида. В общем приезжайте смотрите хорошая машина но нужен автомат. Салоны скупщики и тп не Тревожить меня.
Toyota,Aqua,2017,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",74,вариатор,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",141 817 км,1,правый,N/A
Kia,Sportage,2010,"2 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",140,механика,4WD,джип/suv 5 дв.,235 000 км,3,левый,2.0 MT 4WD LX
Лада,4x4 2121 Нива,2017,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.7 л",83,механика,4WD,N/A,90 000 км,2,левый,1.7 MT Black Edition
Audi,A4,2019,5 поколение,N/A,N/A,"бензин, 1.4 л",150,робот,передний,седан,34 000 км,1,правый,1.4 35 TFSI Meisterstueck
Toyota,Ractis,2011,2 поколение,N/A,N/A,"бензин, 1.3 л",95,вариатор,передний,N/A,170 000 км,2,правый,1.3 L'epice; 1.3 литра; бензин
Skoda,Octavia,2008,N/A,N/A,N/A,"бензин, 1.4 л",75,механика,передний,лифтбек,219 878 км,1,левый,N/A
Honda,Insight,2010,2 поколение,N/A,N/A,"бензин, 1.3 л, гибрид",88,вариатор,передний,лифтбек,189 999 км,3,правый,1.3 L
Mercedes,Benz V Class,2015,3 поколение,N/A,N/A,"дизель, 2.1 л",190,АКПП,задний,N/A,182 500 км,4,левый,250 d AT Avantgarde Comfort Special Edition Длинный
Nissan,Almera,2002,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",98,механика,передний,седан,345 000 км,4,левый,1.5 MT Комфорт
Hyundai,Accent,2007,2 поколение,N/A,N/A,"бензин, 1.5 л",102,механика,передний,седан,220 221 км,4,левый,с кондиционером
Peugeot,308,2012,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л, ГБО",120,АКПП,передний,хэтчбек 5 дв.,165 726 км,3,левый,1.6 AT Access
Honda,Freed,2009,1 поколение,N/A,N/A,"бензин, 1.5 л",118,вариатор,передний,N/A,72 000 км,1,правый,1.5 flex; бу; цвет серый; АКПП
Toyota,ist,2009,2 поколение,N/A,N/A,"бензин, 1.5 л",109,вариатор,передний,N/A,216 573 км,3,правый,1.5 150G; 1.5 литра
Chevrolet,Niva,2017,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.7 л",80,механика,4WD,N/A,130 966 км,1,левый,1.7 MT GL
Mazda,Demio,2011,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.3 л",91,АКПП,4WD,N/A,221 318 км,3,правый,1.3 13C 4WD
Volkswagen,Golf,2013,N/A,N/A,N/A,"бензин, 1.2 л",105,механика,передний,хэтчбек 5 дв.,182 744 км,3,левый,с двухзонным климат-контролем
Hyundai,Elantra,2019,6 поколение,N/A,N/A,"бензин, 2.0 л",150,механика,передний,седан,80 573 км,1,левый,Hyundai Elantra VI (AD) Рестайлинг 2.0 MT (150 л.с.) Active
BMW,7 Series,2019,"6 поколение, рестайлинг",N/A,N/A,"бензин, 4.4 л",530,АКПП,4WD,N/A,149 352 км,3,левый,) и потребительские свойства Автомобиля; у Покупателя имеются документы; подтверждающие приобретение Автомобиля у Продавца; пробег Автомобиля (по показаниям одометра) с момента передачи Автомобиля Покупателю по Акту приёмки-передачи составляет не более 300 (Триста) километров; узлы и агрегаты Автомобиля; в т.ч. имеющееся в Автомобиле дополнительное оборудование (при его наличие); не подвергались демонтажу / замене; техническое состояние Автомобиля соответствует его техническому состоянию на момент передачи Автомобиля Продавцом Покупателю. Программа не распространяется на комиссионные автомобили.
Chevrolet,Lacetti,2007,1 поколение,N/A,N/A,"бензин, 1.6 л",109,АКПП,передний,седан,157 000 км,3,левый,-4 стеклоподъемника
Volkswagen,Jetta,2008,5 поколение,N/A,N/A,"бензин, 1.6 л",102,механика,передний,седан,248 223 км,4,левый,1.6 MT Trendline
BMW,X6,2016,2 поколение,N/A,N/A,"дизель, 3.0 л",249,АКПП,4WD,N/A,68 715 км,1,левый,xDrive 30d AT M Sport
Лада,2112,2004,1 поколение,N/A,N/A,"бензин, 1.5 л",91,механика,передний,хэтчбек 5 дв.,299 999 км,4,левый,1.5 MT Базовая 5-дв. 2112
Toyota,Wish,2010,2 поколение,N/A,N/A,"бензин, 1.8 л",144,вариатор,передний,N/A,147 000 км,1,правый,1.8 S
Hyundai,Accent,2007,2 поколение,N/A,N/A,"бензин, 1.5 л",102,механика,передний,седан,175 700 км,2,левый,1.5 MT MT2
Лада,2112,2003,1 поколение,N/A,N/A,"бензин, 1.5 л",91,механика,передний,хэтчбек 5 дв.,200 292 км,2,левый,1.5 MT Базовая 5-дв. 2112
Лада,Веста,2021,1 поколение,N/A,N/A,"бензин, 1.6 л",106,механика,передний,седан,74 000 км,1,левый,N/A
Toyota,Avensis,2005,2 поколение,N/A,N/A,"бензин, 1.8 л",129,механика,передний,седан,250 000 км,1,левый,N/A
Лада,Калина,2017,2 поколение,N/A,N/A,"бензин, 1.6 л",87,механика,передний,универсал,117 000 км,2,N/A,1.6 MT Classic
Skoda,Rapid,2016,1 поколение,N/A,N/A,"бензин, 1.6 л",90,механика,передний,хэтчбек 5 дв.,581 000 км,N/A,левый,N/A
Toyota,Verso,2012,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",147,вариатор,передний,N/A,294 800 км,4,левый,1.8 CVT Executive 7 seats; коробка автоматическая; цена 1.1 млн.рублей
Toyota,Camry,2021,"9 поколение, рестайлинг",N/A,N/A,"бензин, 2.5 л",200,АКПП,передний,седан,80 000 км,2,левый,2.5 AT Люкс Safety
Subaru,Legacy B4,2005,4 поколение,N/A,N/A,"бензин, 2.0 л",140,АКПП,4WD,N/A,370 000 км,4,правый,N/A
Daewoo,Nexia,2006,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",85,механика,передний,седан,100 000 км,2,левый,N/A
BMW,5 Series,1991,3 поколение,N/A,N/A,"дизель, 2.4 л",115,механика,задний,седан,777 777 км,4,левый,524td MT; седан; дизель; мкпп; серый; 2.4 литра
Renault,Kaptur,2021,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",114,вариатор,передний,N/A,30 300 км,1,левый,N/A
Nissan,Qashqai,2021,"2 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",144,вариатор,4WD,"Шумо и виброизоляция автомобиля Антикоррозийная обработка кузова Охранный комплекс с Gsm модулем и управлением телефоном Бронепленка зон риска кузова, оптики и салона Газовые упоры капота Защита двигателя и акпп металл Дефлекторы окон оригинал Тонировка задних окон Коврики салона и багажника Только что прошли полный детейлинг в дорогом автоателье(есть фото видео вышлем по запросу)! Машина почти новая, любые проверки пройдет. Оплачу диагностику за свой счет без проблем. Юридически чистая, продажа от собственника, в договоре укажем полную стоимость. Оформление желательно через Гибдд, отдадим на номерах(не сохраняем), техосмотр действует до 2027 года. Остались вопросы звоните, с удовольствием отвечу!",28 000 км,1,левый,2.0 CVT 4WD LE Top
BMW,X5,2011,"2 поколение, рестайлинг",N/A,N/A,"дизель, 3.0 л",306,АКПП,4WD,N/A,265 000 км,4,левый,xDrive 40d AT M Sports Edition
Audi,Q7,2019,2 поколение,N/A,N/A,"бензин, 2.0 л",252,АКПП,4WD,N/A,81 700 км,1,левый,с панорамной крышей; камеры 360; подогрев сидений и руля; комплектация 2.0 45 TFSI quattro tiptronic Business
УАЗ,3151,2011,1 поколение,N/A,N/A,"бензин, 2.7 л",112,механика,передний,N/A,149 000 км,3,левый,N/A
Haval,Dargo,2025,1 поколение,N/A,N/A,"бензин, 2.0 л",192,робот,4WD,N/A,новый автомобиль,N/A,левый,X 2.0 GDIT DCT AWD Premium
Toyota,Opa,2001,1 поколение,N/A,N/A,"бензин, 2.0 л",152,вариатор,передний,N/A,293 358 км,3,правый,N/A
Changan,CS35 Plus,2020,1 поколение,N/A,N/A,"бензин, 1.6 л",128,механика,передний,N/A,47 000 км,2,левый,1.6 MT Luxury; 1.6 литра
Лада,Приора,2016,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",106,механика,передний,седан,N/A,N/A,левый,N/A
Audi,A6,1998,2 поколение,N/A,N/A,"бензин, 2.4 л",165,АКПП,передний,седан,N/A,N/A,левый,N/A
Toyota,Aqua,2013,1 поколение,N/A,N/A,"бензин, 1.5 л, гибрид",74,вариатор,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",185 235 км,1,правый,G; белый перламутр с маленьким пробегом. С аукциона вошла в Россию с 20.000 км...
Skoda,Fabia,2001,1 поколение,N/A,N/A,"бензин, 1.4 л",68,механика,передний,хэтчбек 5 дв.,32 000 км,4,левый,N/A
Suzuki,Landy,2007,1 поколение,N/A,N/A,"бензин, 2.0 л",137,вариатор,передний,"- Обмен Вашего автомобиля на приобретаемый; - Срочный выкуп авто; - Комиссионная реализация Вашего авто; - Подбор автомобиля по Вашим параметрам и характеристикам ЧТОБЫ ПОСМОТРЕТЬ ВСЕ АВТОМОБИЛИ В НАЛИЧИИ, НАЖМИТЕ « ПОСМОТРЕТЬ КАРТОЧКУ ПРОДАВЦА »",267 440 км,3,правый,N/A
Лада,4x4 2121 Нива,2018,1 поколение,N/A,N/A,"бензин, 1.7 л",83,механика,4WD,N/A,116 000 км,2,левый,1.7 MT; МКПП
Toyota,Passo,2016,3 поколение,N/A,N/A,"бензин, 1.0 л",69,вариатор,передний,N/A,126 000 км,1,правый,1.0 X
Toyota,Allion,2010,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",144,вариатор,передний,N/A,162 660 км,1,правый,1.8 A18 G package
Nissan,Almera,2005,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",98,механика,передний,седан,235 000 км,4,левый,1.5 MT Комфорт; бензин; серый; 1.5 литра; механика
Лада,4x4 2121 Нива,1998,1 поколение,N/A,N/A,"бензин, 1.7 л",79,механика,4WD,N/A,302 900 км,4,левый,1.7 MT
Toyota,RAV4,2006,3 поколение,N/A,N/A,"бензин, 2.4 л",170,вариатор,4WD,джип/suv 5 дв.,243 625 км,4,правый,N/A
Toyota,Auris,2008,1 поколение,N/A,N/A,"бензин, 1.6 л",123,автомат,передний,хэтчбек 5 дв.,280 км,1,левый,климат-контроль на кнопках; есть подогрев сидений; круиз контроль; парктроник
Opel,Zafira,2013,3 поколение,N/A,N/A,"дизель, 2.0 л",130,АКПП,передний,N/A,133 000 км,3,левый,N/A
Лада,2113 Самара,2012,1 поколение,N/A,N/A,"бензин, 1.6 л",81,механика,передний,N/A,99 000 км,N/A,левый,N/A
Lexus,RX300,2018,4 поколение,N/A,N/A,"бензин, 2.0 л",238,АКПП,4WD,N/A,210 320 км,1,левый,«EXECUTIVE+»:
Land,Rover Range Rover,2020,"4 поколение, рестайлинг",N/A,N/A,"дизель, 3.0 л",249,АКПП,4WD,джип/suv 5 дв.,95 668 км,2,левый,- Мы гарантируем; что автомобиль не находится в розыске и не является предметом залога.
Toyota,Corolla Spacio,1998,1 поколение,N/A,N/A,"бензин, 1.6 л",110,АКПП,передний,N/A,299 999 км,4,правый,1.6 L package (4 Seater)
Toyota,Highlander,2004,"1 поколение, рестайлинг",N/A,N/A,"бензин, 3.3 л",232,АКПП,4WD,N/A,272 000 км,4,левый,обмен возможен; цена 939 000 рублей; бензин; автомат; 4wd; комплектация 3.3 AT Limited; синий; с пробегом 272тыс.км
Chery,Tiggo 7 Pro,2022,1 поколение,N/A,N/A,"бензин, 1.5 л",147,вариатор,передний,N/A,47 359 км,1,левый,Автомобиль проверен и готов к эксплуатации! - Бережная эксплуатация - Чистый и ухоженный салон автомобиля; Специальные программы кредитования: Оформление в день обращения; Выгодная процентная ставка; Возможен кредит без первоначального взноса; Выгода при покупке а/м в кредит – до 70 000 руб.; При покупке автомобиля по системе Trade-in предоставляется дополнительная выгода до 70 000 руб.; Автомобиль прошел комплексную диагностику и предпродажную подготовку; Гарантирована юридическая чистота сделки; Полный пакет документов; Возможна пробная поездка; ГК АВТОМИР; Автомобили с пробегом - это Ваш надежный партнер; на рынке автомобилей с пробегом. Мы готовы предложить Вам; только подготовленные и проверенные автомобили с пробе
Лада,Веста,2017,1 поколение,N/A,N/A,"бензин, 1.6 л",106,механика,передний,седан,99 256 км,2,левый,1.6 MT Classic
Ford,Focus,2005,2 поколение,N/A,N/A,"бензин, 1.6 л",115,механика,передний,универсал,260 000 км,4,левый,1.6 MT Comfort
BMW,5 Series,2004,5 поколение,N/A,N/A,"бензин, 2.5 л",192,АКПП,задний,седан,N/A,N/A,левый,N/A
Toyota,Caldina,1997,1 поколение,N/A,N/A,"дизель, 2.0 л",73,АКПП,передний,машина полностью в рабочем состоянии!,253 749 км,2,правый,N/A
Лада,2104,2002,1 поколение,N/A,N/A,"бензин, 1.6 л",74,механика,задний,N/A,140 000 км,3,левый,1.6 MT 21041
Opel,Mokka,2012,1 поколение,N/A,N/A,"бензин, 1.8 л",140,АКПП,4WD,N/A,149 000 км,3,левый,1.8 AT 4x4 Cosmo
Nissan,X Trail,2008,2 поколение,N/A,N/A,"бензин, 2.5 л",169,механика,4WD,N/A,259 158 км,1,левый,2.5 MT SE
Hyundai,Elantra,2008,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",105,механика,передний,седан,213 786 км,3,левый,1.6 MT GLS (MT2)
Nissan,Note,2017,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.2 л, гибрид",79,АКПП,передний,N/A,136 000 км,1,правый,1.2 e-POWER Medalist; б/у
Toyota,Cresta,1991,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",135,АКПП,задний,N/A,999 999 км,3,правый,2.0 Super deluxe
Audi,Q3,2011,1 поколение,N/A,N/A,"бензин, 2.0 л",211,робот,4WD,N/A,130 251 км,3,левый,2.0 TFSI quattro S tronic
Volvo,S60,2003,1 поколение,N/A,N/A,"бензин, 2.4 л",170,АКПП,передний,N/A,180 000 км,N/A,левый,N/A
Nissan,Leaf,2012,1 поколение,N/A,N/A,электро,109,АКПП,передний,хэтчбек 5 дв.,150 000 км,3,правый,G side/curtain airbag system less
Lexus,RX300,2001,"1 поколение, рестайлинг",N/A,N/A,"бензин, 3.0 л, ГБО",201,АКПП,4WD,N/A,325 000 км,4,левый,3.0 AT
Renault,Logan,2007,1 поколение,N/A,N/A,"бензин, 1.6 л",87,механика,передний,седан,370 000 км,3,левый,N/A
Renault,Duster,2013,1 поколение,N/A,N/A,"бензин, 2.0 л",135,механика,4WD,N/A,N/A,N/A,левый,N/A
Lexus,LX450d,2019,"3 поколение, 2 рестайлинг",N/A,N/A,"дизель, 4.5 л",272,АКПП,4WD,N/A,21 700 км,2,левый,4.5D AT Black Vision
Ford,Spectron,1993,"1 поколение, рестайлинг",N/A,N/A,"дизель, 2.0 л",76,механика,4WD,N/A,198 000 км,3,правый,N/A
Renault,Duster,2020,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",114,механика,4WD,N/A,210 000 км,2,левый,N/A
Лада,2110,2006,1 поколение,N/A,N/A,"бензин, 1.6 л",80,механика,передний,N/A,N/A,N/A,левый,1.6i MT 21101
Toyota,Hilux,2022,"8 поколение, 2 рестайлинг",N/A,N/A,"дизель, 2.8 л",200,АКПП,4WD,N/A,56 700 км,1,левый,N/A
Toyota,Sprinter,1992,7 поколение,N/A,N/A,"бензин, 1.5 л",105,механика,передний,седан,349 000 км,3,правый,N/A
Nissan,Tino,1999,1 поколение,N/A,N/A,"бензин, 1.8 л",120,АКПП,передний,N/A,367 000 км,4,правый,N/A
Toyota,Sienta,2019,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",74,вариатор,передний,N/A,92 000 км,1,правый,Hybrid 1.5 G Glamper; 1.5л.; гибрид; цена 1550000руб.
Toyota,Corolla,2005,"9 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",110,АКПП,передний,седан,146 000 км,4,левый,1.6 AT Luna
Лада,2113 Самара,2013,1 поколение,N/A,N/A,"бензин, 1.6 л",81,механика,передний,N/A,N/A,N/A,левый,N/A
Mitsubishi,Lancer Cedia,2002,9 поколение,N/A,N/A,"бензин, 1.8 л",130,вариатор,передний,универсал,420 000 км,4,правый,N/A
Лада,2109,2002,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",N/A,механика,передний,N/A,200 000 км,3,левый,N/A
Toyota,Spade,2016,1 поколение,N/A,N/A,"бензин, 1.5 л",109,вариатор,передний,N/A,110 000 км,1,правый,1.5 F Queen II
Toyota,Land Cruiser Prado,2003,3 поколение,N/A,N/A,"бензин, 2.7 л",150,АКПП,4WD,джип/suv 5 дв.,255 000 км,4,правый,2.7 Prado TX
Subaru,B9 Tribeca,2007,1 поколение,N/A,N/A,"бензин, 3.0 л, ГБО",245,АКПП,4WD,"- климат-контроль; - круиз-контроль; - эл.зеркала с обогревом; - потолочный DVD с пультом ду.; - эл.обогрев дворников; - люк; - сиденья с обогревом; - Led ближний свет фар, противотуманки, ДХО; - фаркоп; - цветной монитор; За авто не стыдно! Любые проверки приветствуются! Отчет авто по запросу. Разумный торг",310 000 км,4,левый,3.0 AT Luxury GW
Lifan,Solano,2018,2 поколение,N/A,N/A,"бензин, 1.8 л",133,вариатор,передний,N/A,48 000 км,N/A,левый,1.8 CVT Luxury
Honda,Civic,2020,"10 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",182,вариатор,передний,хэтчбек 5 дв.,84 000 км,1,правый,EX; рестайлинг; система старт - стоп; хэтчбек 5 дв.; 1.5; 1.5 литра; акпп
Belgee,X70,2025,1 поколение,N/A,N/A,"бензин, 1.5 л",150,АКПП,передний,N/A,новый автомобиль,N/A,левый,1.5T AT Style
Belgee,X70,2025,1 поколение,N/A,N/A,"бензин, 1.5 л",150,АКПП,передний,N/A,новый автомобиль,N/A,левый,1.5T AT Style
Haval,Jolion,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,робот,4WD,N/A,новый автомобиль,N/A,левый,1.5 DCT 4WD Elite; АКПП; 1.5 литра; 4вд; бензин
Skoda,Octavia,2011,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",102,механика,передний,лифтбек,197 185 км,1,левый,Skoda Octavia II (A5) Рестайлинг 1.6 MT (102 л.с.)
